chromosome	chromosome_class	mean_percent_aligned_across_queries	median_percent_aligned_across_queries	min_percent_aligned	max_percent_aligned
1	core	85.2012	84.8548	80.2034	90.8918
2	core	83.4629	81.3860	80.0316	91.0481
3	lineage_specific	19.1483	12.2844	8.0673	43.9571
4	core	94.5032	94.3166	90.5409	98.8388
5	core	95.0528	94.3993	93.7074	97.7053
6	lineage_specific	19.2869	10.0930	4.9300	52.0318
7	core	95.7680	95.2892	93.8039	98.6899
8	core	94.6954	94.4830	91.5250	98.2905
9	core	94.6498	94.9124	89.6603	99.1140
10	core	92.7580	93.2166	86.5334	98.0654
11	core	94.9670	96.3254	88.4682	98.7490
12	core	90.6006	88.1001	86.7731	99.4293
13	core	94.1113	94.6883	88.7061	98.3625
14	lineage_specific	29.0709	14.8794	3.7506	82.7741
15	lineage_specific	31.2343	20.7670	10.1685	73.2347
