query_genome	query_id	query_length_bp	query_start_0based	query_end_0based	ref_id	ref_length_bp	ref_start_0based	ref_end_0based	orientation	matching_bases	alignment_block_length_bp	ref_span_bp	percent_identity	mapping_quality
FolD11	CM012187.1	6551299	127190	139564	NC_030986.1	6854980	0	12470	same	12321	12324	12470	99.9757	60
FolD11	CM012187.1	6551299	157848	287253	NC_030986.1	6854980	33880	164751	same	129293	130688	130871	98.9326	60
FolD11	CM012187.1	6551299	287329	332927	NC_030986.1	6854980	164854	210444	same	45578	45605	45590	99.9408	60
FolD11	CM012187.1	6551299	333013	362534	NC_030986.1	6854980	210537	240725	same	29521	30188	30188	97.7905	60
FolD11	CM012187.1	6551299	364782	396276	NC_030986.1	6854980	243297	274794	same	31486	31500	31497	99.9556	60
FolD11	CM012187.1	6551299	396492	492427	NC_030986.1	6854980	275031	365576	same	90537	95942	90545	94.3664	60
FolD11	CM012187.1	6551299	492485	565666	NC_030986.1	6854980	365644	438830	same	73180	73186	73186	99.9918	60
FolD11	CM012187.1	6551299	565792	666626	NC_030986.1	6854980	438969	539794	same	100815	100843	100825	99.9722	60
FolD11	CM012187.1	6551299	666756	704768	NC_030986.1	6854980	539940	577955	same	38010	38016	38015	99.9842	60
FolD11	CM012187.1	6551299	704959	764400	NC_030986.1	6854980	578147	637593	same	59438	59447	59446	99.9849	60
FolD11	CM012187.1	6551299	765685	767312	NC_030986.1	6854980	638789	640417	same	1627	1628	1628	99.9386	60
FolD11	CM012187.1	6551299	767488	769139	NC_030986.1	6854980	640736	642387	same	1649	1651	1651	99.8789	60
FolD11	CM012187.1	6551299	769545	817908	NC_030986.1	6854980	643087	691454	same	48363	48367	48367	99.9917	60
FolD11	CM012187.1	6551299	818016	863859	NC_030986.1	6854980	691580	737427	same	45842	45848	45847	99.9869	60
FolD11	CM012187.1	6551299	864501	974082	NC_030986.1	6854980	738266	847960	same	109368	109454	109694	99.9214	60
FolD11	CM012187.1	6551299	974243	981906	NC_030986.1	6854980	848104	855767	same	7663	7663	7663	100.0000	60
FolD11	CM012187.1	6551299	982449	1063505	NC_030986.1	6854980	856349	937471	same	81001	81026	81122	99.9691	60
FolD11	CM012187.1	6551299	1064071	1069460	NC_030986.1	6854980	937970	943361	same	5370	5392	5391	99.5920	60
FolD11	CM012187.1	6551299	1069519	1099801	NC_030986.1	6854980	943433	973717	same	30282	30284	30284	99.9934	60
FolD11	CM012187.1	6551299	1099949	1151898	NC_030986.1	6854980	973871	1025821	same	51948	51950	51950	99.9962	60
FolD11	CM012187.1	6551299	1152120	1188673	NC_030986.1	6854980	1026045	1062598	same	36553	36553	36553	100.0000	60
FolD11	CM012187.1	6551299	1188781	1250023	NC_030986.1	6854980	1062723	1123966	same	61235	61245	61243	99.9837	60
FolD11	CM012187.1	6551299	1253392	1264191	NC_030986.1	6854980	1127152	1137952	same	10799	10800	10800	99.9907	60
FolD11	CM012187.1	6551299	1264341	1369539	NC_030986.1	6854980	1138113	1243454	same	105178	105202	105341	99.9772	60
FolD11	CM012187.1	6551299	1370481	1448067	NC_030986.1	6854980	1244348	1322616	same	77576	78269	78268	99.1146	60
FolD11	CM012187.1	6551299	1448227	1525688	NC_030986.1	6854980	1322784	1400314	same	77329	77343	77530	99.9819	60
FolD11	CM012187.1	6551299	1526265	1692605	NC_030986.1	6854980	1401054	1565615	same	164381	166287	164561	98.8538	60
FolD11	CM012187.1	6551299	1693003	1701907	NC_030986.1	6854980	1566074	1574979	same	8903	8905	8905	99.9775	60
FolD11	CM012187.1	6551299	1702065	1731389	NC_030986.1	6854980	1575149	1603705	same	28552	29327	28556	97.3574	60
FolD11	CM012187.1	6551299	1782582	1786370	NC_030986.1	6854980	1604705	1608496	same	3787	3792	3791	99.8681	60
FolD11	CM012187.1	6551299	1787992	1889739	NC_030986.1	6854980	1610354	1711439	same	101050	101765	101085	99.2974	60
FolD11	CM012187.1	6551299	1889845	1911860	NC_030986.1	6854980	1711541	1733541	same	21989	22019	22000	99.8638	60
FolD11	CM012187.1	6551299	1912334	1933449	NC_030986.1	6854980	1734176	1755293	same	21113	21118	21117	99.9763	60
FolD11	CM012187.1	6551299	1933562	2016868	NC_030986.1	6854980	1755401	1838835	same	83153	83186	83434	99.9603	60
FolD11	CM012187.1	6551299	2017478	2043500	NC_030986.1	6854980	1839452	1866150	same	26005	26700	26698	97.3970	60
FolD11	CM012194.1	3452555	58414	59056	NC_030986.1	6854980	1859162	1859805	opposite	642	643	643	99.8445	1
FolD11	CM012187.1	6551299	2045048	2056276	NC_030986.1	6854980	1867885	1879114	same	11228	11229	11229	99.9911	60
FolD11	CM012187.1	6551299	2056782	2087596	NC_030986.1	6854980	1879754	1910582	same	30807	30829	30828	99.9286	60
FolD11	CM012187.1	6551299	2088044	2137892	NC_030986.1	6854980	1911218	1960778	same	49082	49782	49560	98.5939	60
FolD11	CM012187.1	6551299	2138418	2165190	NC_030986.1	6854980	1961368	1988142	same	26771	26775	26774	99.9851	60
FolD11	CM012187.1	6551299	2165560	2212741	NC_030986.1	6854980	1988594	2035931	same	47088	47128	47337	99.9151	60
FolD11	CM012187.1	6551299	2213283	2216591	NC_030986.1	6854980	2036756	2040066	same	3307	3310	3310	99.9094	60
FolD11	CM012187.1	6551299	2217169	2230314	NC_030986.1	6854980	2040554	2053708	same	13120	13156	13154	99.7264	60
FolD11	CM012187.1	6551299	2231178	2264263	NC_030986.1	6854980	2054359	2087447	same	33081	33091	33088	99.9698	60
FolD11	CM012187.1	6551299	2264913	2427743	NC_030986.1	6854980	2087927	2250772	same	162807	162860	162845	99.9675	60
FolD11	CM012187.1	6551299	2428144	2485492	NC_030986.1	6854980	2251302	2308623	same	57209	57252	57321	99.9249	60
FolD11	CM012187.1	6551299	2485605	2554952	NC_030986.1	6854980	2308742	2377965	same	69205	69360	69223	99.7765	60
FolD11	CM012187.1	6551299	2555046	2737601	NC_030986.1	6854980	2378057	2560625	same	182550	182570	182568	99.9890	60
FolD11	CM012187.1	6551299	2737913	2793048	NC_030986.1	6854980	2561055	2616198	same	55090	55150	55143	99.8912	60
FolD11	CM012187.1	6551299	2793129	2809359	NC_030986.1	6854980	2616280	2632513	same	16230	16233	16233	99.9815	60
FolD11	CM012187.1	6551299	2810605	2839432	NC_030986.1	6854980	2634085	2662913	same	28827	28828	28828	99.9965	60
FolD11	CM012187.1	6551299	2839658	2854496	NC_030986.1	6854980	2663281	2678123	same	14837	14842	14842	99.9663	60
FolD11	CM012187.1	6551299	2854859	2880559	NC_030986.1	6854980	2678480	2704155	same	25675	25700	25675	99.9027	60
FolD11	CM012187.1	6551299	2880717	2970813	NC_030986.1	6854980	2704314	2794413	same	90094	90101	90099	99.9922	60
FolD11	CM012187.1	6551299	2970905	3076134	NC_030986.1	6854980	2794507	2899757	same	105228	105250	105250	99.9791	60
FolD11	CM012187.1	6551299	3076627	3086057	NC_030986.1	6854980	2900219	2909649	same	9426	9432	9430	99.9364	60
FolD11	CM012187.1	6551299	3086399	3126271	NC_030986.1	6854980	2910153	2950021	same	39846	39880	39868	99.9147	60
FolD11	CM012187.1	6551299	3126391	3151984	NC_030986.1	6854980	2950137	2975731	same	25580	25602	25594	99.9141	60
FolD11	CM012187.1	6551299	3152765	3449699	NC_030986.1	6854980	2977184	3274241	same	296767	296834	297057	99.9774	60
FolD11	CM012187.1	6551299	3449938	3454539	NC_030986.1	6854980	3274486	3279088	same	4601	4602	4602	99.9783	60
FolD11	CM012187.1	6551299	3454987	3516357	NC_030986.1	6854980	3279507	3341020	same	61296	61327	61513	99.9495	60
FolD11	CM012187.1	6551299	3517229	3559995	NC_030986.1	6854980	3341778	3384547	same	42763	42769	42769	99.9860	60
FolD11	CM012187.1	6551299	3560181	3686947	NC_030986.1	6854980	3384726	3511518	same	126742	126811	126792	99.9456	60
FolD11	CM012187.1	6551299	3687432	3801161	NC_030986.1	6854980	3511844	3625585	same	113726	113742	113741	99.9859	60
FolD11	CM012187.1	6551299	3801292	3802601	NC_030986.1	6854980	3625718	3627027	same	1309	1309	1309	100.0000	60
FolD11	CM012187.1	6551299	3802886	3806361	NC_030986.1	6854980	3627338	3630814	same	3475	3476	3476	99.9712	60
FolD11	CM012187.1	6551299	3806492	3807877	NC_030986.1	6854980	3631042	3632427	same	1381	1387	1385	99.5674	60
FolD11	CM012187.1	6551299	3808125	3889961	NC_030986.1	6854980	3632639	3714483	same	81834	81845	81844	99.9866	60
FolD11	CM012187.1	6551299	3891373	3925005	NC_030986.1	6854980	3715878	3749639	same	33630	33761	33761	99.6120	60
FolD11	CM012187.1	6551299	3925121	4001079	NC_030986.1	6854980	3749762	3825769	same	75891	75907	76007	99.9789	60
FolD11	CM012187.1	6551299	4001435	4078935	NC_030986.1	6854980	3826146	3903657	same	77494	77511	77511	99.9781	60
FolD11	CM012187.1	6551299	4079729	4101421	NC_030986.1	6854980	3905362	3927150	same	21633	21662	21788	99.8661	60
FolD11	CM012187.1	6551299	4101685	4126483	NC_030986.1	6854980	3927500	3952299	same	24797	24800	24799	99.9879	60
FolD11	CM012187.1	6551299	4126574	4205456	NC_030986.1	6854980	3952389	4031489	same	78656	78727	79100	99.9098	60
FolD11	CM012187.1	6551299	4206089	4212025	NC_030986.1	6854980	4032197	4038134	same	5935	5937	5937	99.9663	60
FolD11	CM012187.1	6551299	4212281	4217650	NC_030986.1	6854980	4038496	4043866	same	5369	5370	5370	99.9814	60
FolD11	CM012187.1	6551299	4217738	4449358	NC_030986.1	6854980	4043960	4276331	same	231490	232327	232371	99.6397	60
FolD11	CM012187.1	6551299	4449860	4455042	NC_030986.1	6854980	4276883	4282065	same	5178	5182	5182	99.9228	60
FolD11	CM012187.1	6551299	4455303	4467326	NC_030986.1	6854980	4282857	4294882	same	12022	12025	12025	99.9751	60
