genome	sequence_id	chromosome	length_bp	chromosome_class	description
Fol4287	NC_030986.1	1	6854980	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 1, whole genome shotgun sequence
Fol4287	NC_030987.1	2	5577357	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 2, whole genome shotgun sequence
Fol4287	NC_030988.1	3	5634991	lineage_specific	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 3, whole genome shotgun sequence
Fol4287	NC_030989.1	4	5212762	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 4, whole genome shotgun sequence
Fol4287	NC_030990.1	5	4914260	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 5, whole genome shotgun sequence
Fol4287	NC_030991.1	6	4589937	lineage_specific	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 6, whole genome shotgun sequence
Fol4287	NC_030992.1	7	4347182	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 7, whole genome shotgun sequence
Fol4287	NC_030993.1	8	3984410	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 8, whole genome shotgun sequence
Fol4287	NC_030994.1	9	3304701	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 9, whole genome shotgun sequence
Fol4287	NC_030995.1	10	2896840	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 10, whole genome shotgun sequence
Fol4287	NC_030996.1	11	2337134	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 11, whole genome shotgun sequence
Fol4287	NC_030997.1	12	2233407	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 12, whole genome shotgun sequence
Fol4287	NC_030998.1	13	1751499	core	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 13, whole genome shotgun sequence
Fol4287	NC_030999.1	14	1838362	lineage_specific	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 14, whole genome shotgun sequence
Fol4287	NC_031000.1	15	2434640	lineage_specific	Fusarium oxysporum f. sp. lycopersici 4287 chromosome 15, whole genome shotgun sequence
