query_genome	query_id	query_length_bp	query_start_0based	query_end_0based	ref_id	ref_length_bp	ref_start_0based	ref_end_0based	orientation	matching_bases	alignment_block_length_bp	ref_span_bp	percent_identity	mapping_quality
FoCotton	KK035242.1	42187	5334	14193	NC_030986.1	6854980	110412	119924	opposite	8571	9535	9512	89.8899	60
FoCotton	JH658042.1	54618	40799	46935	NC_030986.1	6854980	126838	133094	opposite	5805	6058	6256	95.8237	60
FoCotton	JH658042.1	54618	33784	40648	NC_030986.1	6854980	133237	139956	opposite	6563	6866	6719	95.5870	60
FoCotton	JH658042.1	54618	23166	32406	NC_030986.1	6854980	140283	147658	opposite	7113	9245	7375	76.9389	60
FoCotton	JH658042.1	54618	15018	19519	NC_030986.1	6854980	148619	153119	opposite	4378	4501	4500	97.2673	60
FoCotton	JH658114.1	23478	839	2617	NC_030986.1	6854980	173355	175156	same	1681	1802	1801	93.2852	60
FoCotton	JH658027.1	69246	611	2071	NC_030986.1	6854980	176889	178348	same	1433	1460	1459	98.1507	60
FoCotton	JH658027.1	69246	9229	25160	NC_030986.1	6854980	193253	209101	same	15418	15937	15848	96.7434	60
FoCotton	JH658027.1	69246	30088	39600	NC_030986.1	6854980	215374	225733	same	9338	10362	10359	90.1177	60
FoCotton	JH658027.1	69246	40412	54572	NC_030986.1	6854980	226547	240725	same	13944	14181	14178	98.3287	60
FoCotton	JH658027.1	69246	56678	58734	NC_030986.1	6854980	243674	245966	same	2025	2292	2292	88.3508	60
FoCotton	JH657985.1	123401	2300	15928	NC_030986.1	6854980	246674	260306	same	13224	13656	13632	96.8366	60
FoCotton	JH657985.1	123401	16557	73741	NC_030986.1	6854980	291962	347853	same	53805	57515	55891	93.5495	60
FoCotton	JH657985.1	123401	79317	99975	NC_030986.1	6854980	349870	365576	same	15209	20730	15706	73.3671	60
FoCotton	JH657985.1	123401	100033	123361	NC_030986.1	6854980	365644	388820	same	22127	23661	23176	93.5168	60
FoCotton	KK035237.1	52501	5386	52253	NC_030986.1	6854980	388819	431753	opposite	41563	46989	42934	88.4526	60
FoCotton	KK035237.1	52501	8	3255	NC_030986.1	6854980	434030	437274	opposite	3102	3266	3244	94.9786	60
FoCotton	JH657926.1	1190151	180	1714	NC_030986.1	6854980	437296	438830	same	1493	1534	1534	97.3272	60
FoCotton	JH657926.1	1190151	1840	8399	NC_030986.1	6854980	438969	445527	same	6309	6567	6558	96.0713	60
FoCotton	JH657926.1	1190151	17622	42926	NC_030986.1	6854980	453367	478616	same	24492	25536	25249	95.9117	60
FoCotton	JH657926.1	1190151	43019	71144	NC_030986.1	6854980	478708	506474	same	25742	29057	27766	88.5914	60
FoCotton	JH657926.1	1190151	82669	86745	NC_030986.1	6854980	517135	521170	same	3898	4079	4035	95.5626	60
FoCotton	JH657926.1	1190151	94612	98360	NC_030986.1	6854980	534576	538329	same	3641	3753	3753	97.0157	60
FoCotton	JH657926.1	1190151	98989	99823	NC_030986.1	6854980	538960	539794	same	813	834	834	97.4820	60
FoCotton	JH657926.1	1190151	99955	103190	NC_030986.1	6854980	539942	543158	same	3110	3243	3216	95.8989	60
FoCotton	JH657926.1	1190151	103694	137917	NC_030986.1	6854980	543650	577955	same	33765	34392	34305	98.1769	60
FoCotton	JH657926.1	1190151	138108	151942	NC_030986.1	6854980	578147	591980	same	13568	13844	13833	98.0064	60
FoCotton	JH657926.1	1190151	155658	197674	NC_030986.1	6854980	595568	637593	same	41480	42079	42025	98.5765	60
FoCotton	JH657926.1	1190151	198959	200586	NC_030986.1	6854980	638789	640417	same	1606	1628	1628	98.6486	60
FoCotton	JH657926.1	1190151	200762	202416	NC_030986.1	6854980	640736	642387	same	1635	1654	1651	98.8513	60
FoCotton	JH657926.1	1190151	202822	251195	NC_030986.1	6854980	643087	691454	same	48005	48394	48367	99.1962	60
FoCotton	JH657926.1	1190151	251303	297195	NC_030986.1	6854980	691580	737427	same	45501	45910	45847	99.1091	60
FoCotton	JH657926.1	1190151	297837	306651	NC_030986.1	6854980	738266	747068	same	8598	8827	8802	97.4057	60
FoCotton	JH657926.1	1190151	306824	349602	NC_030986.1	6854980	747238	789228	same	41080	42800	41990	95.9813	60
FoCotton	JH657926.1	1190151	349773	407481	NC_030986.1	6854980	790475	847926	same	56284	57946	57451	97.1318	60
FoCotton	JH657926.1	1190151	407677	415326	NC_030986.1	6854980	848104	855767	same	7480	7675	7663	97.4593	60
FoCotton	JH657926.1	1190151	415901	450744	NC_030986.1	6854980	856363	891121	same	34191	34946	34758	97.8395	60
