file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
data/raw/Fol4287.fna	FASTA	DNA	85	61386934	900	722199.2	6854980	8068	14354	154101	0	4589937	6	0	0	0.00	47.25	1450151
data/raw/Fo47.fna	FASTA	DNA	12	50358849	2552985	4196570.8	6487135	3085638	4279873	4941412	0	4523040	5	0	0	0.00	47.72	0
data/raw/FoCL57.fna	FASTA	DNA	418	49359289	1018	118084.4	5064356	1704	4006	15834	0	2471847	7	0	0	0.00	47.52	98712
data/raw/FoCotton.fna	FASTA	DNA	985	52914414	1020	53720.2	3361134	2714	7318	24688	0	423970	26	0	0	0.00	47.26	455576
data/raw/FolD11.fna	FASTA	DNA	39	57281978	19872	1468768.7	6551299	43025	63807	2528637	0	4408267	6	0	0	0.00	47.83	0
