query	accession	host_context	chromosome	ref_id	chromosome_class	chromosome_length_bp	aligned_bp	percent_aligned	alignment_blocks	weighted_mean_identity	largest_block_bp	same_orientation_aligned_bp	opposite_orientation_aligned_bp
Fo47	GCF_013085055.1	endophyte_biocontrol	1	NC_030986.1	core	6854980	5892879	85.9649	197	97.3724	297057	182455	5720019
Fo47	GCF_013085055.1	endophyte_biocontrol	2	NC_030987.1	core	5577357	4571351	81.9627	159	97.3492	201771	69644	4503384
Fo47	GCF_013085055.1	endophyte_biocontrol	3	NC_030988.1	lineage_specific	5634991	454592	8.0673	172	88.8380	33517	325399	165545
Fo47	GCF_013085055.1	endophyte_biocontrol	4	NC_030989.1	core	5212762	4915405	94.2956	114	96.0038	229884	452	4914953
Fo47	GCF_013085055.1	endophyte_biocontrol	5	NC_030990.1	core	4914260	4642970	94.4795	129	96.7482	240229	5261	4639831
Fo47	GCF_013085055.1	endophyte_biocontrol	6	NC_030991.1	lineage_specific	4589937	226285	4.9300	112	92.9103	11480	120097	126896
Fo47	GCF_013085055.1	endophyte_biocontrol	7	NC_030992.1	core	4347182	4137670	95.1805	111	97.0989	193724	4133422	7136
Fo47	GCF_013085055.1	endophyte_biocontrol	8	NC_030993.1	core	3984410	3748423	94.0772	123	97.1135	291673	24526	3723897
Fo47	GCF_013085055.1	endophyte_biocontrol	9	NC_030994.1	core	3304701	3122796	94.4956	85	95.1235	231814	3007633	115163
Fo47	GCF_013085055.1	endophyte_biocontrol	10	NC_030995.1	core	2896840	2713802	93.6815	79	95.0947	200853	2713802	0
Fo47	GCF_013085055.1	endophyte_biocontrol	11	NC_030996.1	core	2337134	2248327	96.2002	69	93.4547	158325	1707	2247065
Fo47	GCF_013085055.1	endophyte_biocontrol	12	NC_030997.1	core	2233407	1961610	87.8304	103	93.7249	128083	1960777	833
Fo47	GCF_013085055.1	endophyte_biocontrol	13	NC_030998.1	core	1751499	1653327	94.3950	46	94.2620	220109	0	1653327
Fo47	GCF_013085055.1	endophyte_biocontrol	14	NC_030999.1	lineage_specific	1838362	68950	3.7506	49	96.1448	5997	51057	25894
Fo47	GCF_013085055.1	endophyte_biocontrol	15	NC_031000.1	lineage_specific	2434640	650303	26.7104	131	90.3886	70126	216310	472118
FoCL57	GCA_000260155.3	tomato_crown_root_rot	1	NC_030986.1	core	6854980	5740683	83.7447	198	97.8843	297057	5357806	390767
FoCL57	GCA_000260155.3	tomato_crown_root_rot	2	NC_030987.1	core	5577357	4507022	80.8093	151	97.5944	201771	4372166	138773
FoCL57	GCA_000260155.3	tomato_crown_root_rot	3	NC_030988.1	lineage_specific	5634991	481464	8.5442	270	91.3546	19608	257961	262550
FoCL57	GCA_000260155.3	tomato_crown_root_rot	4	NC_030989.1	core	5212762	4917588	94.3375	118	95.5580	229884	2416284	2512939
FoCL57	GCA_000260155.3	tomato_crown_root_rot	5	NC_030990.1	core	4914260	4635086	94.3191	130	96.8376	240229	4386	4633639
FoCL57	GCA_000260155.3	tomato_crown_root_rot	6	NC_030991.1	lineage_specific	4589937	289360	6.3042	160	91.3796	15625	165361	134659
FoCL57	GCA_000260155.3	tomato_crown_root_rot	7	NC_030992.1	core	4347182	4147117	95.3978	113	97.0568	193724	4140474	6643
FoCL57	GCA_000260155.3	tomato_crown_root_rot	8	NC_030993.1	core	3984410	3780758	94.8888	123	96.9612	251540	1434379	2346390
FoCL57	GCA_000260155.3	tomato_crown_root_rot	9	NC_030994.1	core	3304701	3150344	95.3292	91	94.7860	231814	2018821	1133822
FoCL57	GCA_000260155.3	tomato_crown_root_rot	10	NC_030995.1	core	2896840	2686865	92.7516	89	96.2584	200853	2573563	113302
FoCL57	GCA_000260155.3	tomato_crown_root_rot	11	NC_030996.1	core	2337134	2254180	96.4506	66	93.3772	151452	929	2254180
