chromosome	chromosome_class	Fo47	FoCL57	FoCotton	FolD11
1	core	85.9649	83.7447	80.2034	90.8918
2	core	81.9627	80.8093	80.0316	91.0481
3	lineage_specific	8.0673	8.5442	16.0245	43.9571
4	core	94.2956	94.3375	90.5409	98.8388
5	core	94.4795	94.3191	93.7074	97.7053
6	lineage_specific	4.9300	6.3042	13.8817	52.0318
7	core	95.1805	95.3978	93.8039	98.6899
8	core	94.0772	94.8888	91.5250	98.2905
9	core	94.4956	95.3292	89.6603	99.1140
10	core	93.6815	92.7516	86.5334	98.0654
11	core	96.2002	96.4506	88.4682	98.7490
12	core	87.8304	88.3697	86.7731	99.4293
13	core	94.3950	94.9816	88.7061	98.3625
14	lineage_specific	3.7506	7.1964	22.5623	82.7741
15	lineage_specific	26.7104	10.1685	14.8235	73.2347
