query_genome	query_id	query_length_bp	query_start_0based	query_end_0based	ref_id	ref_length_bp	ref_start_0based	ref_end_0based	orientation	matching_bases	alignment_block_length_bp	ref_span_bp	percent_identity	mapping_quality
Fo47	NC_072840.1	6487135	6361863	6366372	NC_030986.1	6854980	0	4492	opposite	4324	4515	4492	95.7697	60
Fo47	NC_072840.1	6487135	6354699	6361174	NC_030986.1	6854980	5181	11736	opposite	6271	6442	6555	97.3455	60
Fo47	NC_072840.1	6487135	6311904	6336673	NC_030986.1	6854980	33880	59933	opposite	22691	27540	26053	82.3929	60
Fo47	NC_072840.1	6487135	6273302	6308371	NC_030986.1	6854980	62003	93526	opposite	30230	35754	31523	84.5500	60
Fo47	NC_072840.1	6487135	6263070	6270519	NC_030986.1	6854980	108198	115654	opposite	7233	7457	7456	96.9961	60
Fo47	NC_072840.1	6487135	6249522	6252138	NC_030986.1	6854980	117253	119867	opposite	2529	2618	2614	96.6005	60
Fo47	NC_072840.1	6487135	6242445	6242997	NC_030986.1	6854980	124236	124787	opposite	519	552	551	94.0217	60
Fo47	NC_072840.1	6487135	6228798	6241851	NC_030986.1	6854980	126862	139888	opposite	12509	12981	13026	96.3639	60
Fo47	NC_072840.1	6487135	6216413	6225202	NC_030986.1	6854980	140810	152323	opposite	8526	11537	11513	73.9014	60
Fo47	NC_072840.1	6487135	6188725	6211314	NC_030986.1	6854980	171262	193920	opposite	22067	22721	22658	97.1216	60
Fo47	NC_072840.1	6487135	6145706	6188482	NC_030986.1	6854980	194160	240725	opposite	42015	46627	46565	90.1087	60
Fo47	NC_072840.1	6487135	6109746	6143461	NC_030986.1	6854980	243297	274794	opposite	25029	39707	31497	63.0342	60
Fo47	NC_072840.1	6487135	6029119	6107602	NC_030986.1	6854980	292035	365565	opposite	71946	78637	73530	91.4913	60
Fo47	NC_072840.1	6487135	6005136	6029050	NC_030986.1	6854980	365644	389807	opposite	23396	24203	24163	96.6657	60
Fo47	NC_072840.1	6487135	5989245	5998938	NC_030986.1	6854980	395460	405336	opposite	9415	9879	9876	95.3032	60
Fo47	NC_072840.1	6487135	5938502	5960335	NC_030986.1	6854980	409911	431753	opposite	21375	21863	21842	97.7679	60
Fo47	NC_072840.1	6487135	5931512	5936347	NC_030986.1	6854980	434010	438830	opposite	4713	4841	4820	97.3559	60
Fo47	NC_072840.1	6487135	5891752	5931379	NC_030986.1	6854980	438976	478601	opposite	38890	39730	39625	97.8857	60
Fo47	NC_072840.1	6487135	5863832	5891644	NC_030986.1	6854980	478708	506553	opposite	26572	28241	27845	94.0902	60
Fo47	NC_072840.1	6487135	5839089	5854157	NC_030986.1	6854980	517109	532304	opposite	14777	15209	15195	97.1596	60
Fo47	NC_072840.1	6487135	5827343	5832283	NC_030986.1	6854980	533350	538290	opposite	4872	4940	4940	98.6235	60
Fo47	NC_072840.1	6487135	5825841	5826723	NC_030986.1	6854980	538912	539794	opposite	857	882	882	97.1655	60
Fo47	NC_072840.1	6487135	5825199	5825711	NC_030986.1	6854980	539940	540452	opposite	488	512	512	95.3125	60
Fo47	NC_072840.1	6487135	5787663	5825002	NC_030986.1	6854980	540649	577955	opposite	36974	37397	37306	98.8689	60
Fo47	NC_072840.1	6487135	5727997	5787472	NC_030986.1	6854980	578147	637593	opposite	58931	59511	59446	99.0254	60
Fo47	NC_072840.1	6487135	5725085	5726712	NC_030986.1	6854980	638789	640417	opposite	1612	1628	1628	99.0172	60
Fo47	NC_072840.1	6487135	5723249	5724909	NC_030986.1	6854980	640736	642387	opposite	1631	1660	1651	98.2530	60
Fo47	NC_072840.1	6487135	5674442	5722840	NC_030986.1	6854980	643087	691454	opposite	48092	48407	48367	99.3493	60
Fo47	NC_072840.1	6487135	5628487	5674334	NC_030986.1	6854980	691580	737427	opposite	45496	45883	45847	99.1566	60
Fo47	NC_072840.1	6487135	5517441	5627845	NC_030986.1	6854980	738266	847960	opposite	107611	111124	109694	96.8387	60
Fo47	NC_072840.1	6487135	5509611	5517280	NC_030986.1	6854980	848104	855767	opposite	7592	7678	7663	98.8799	60
Fo47	NC_072840.1	6487135	5427977	5509021	NC_030986.1	6854980	856363	937471	opposite	80105	81225	81108	98.6211	60
Fo47	NC_072840.1	6487135	5422040	5427385	NC_030986.1	6854980	937996	943358	opposite	5284	5364	5362	98.5086	60
Fo47	NC_072840.1	6487135	5418954	5421960	NC_030986.1	6854980	943440	946462	opposite	2962	3024	3022	97.9497	60
Fo47	NC_072840.1	6487135	5392567	5416966	NC_030986.1	6854980	949318	973717	opposite	24165	24424	24399	98.9396	60
Fo47	NC_072840.1	6487135	5340406	5392419	NC_030986.1	6854980	973871	1025821	opposite	51597	52034	51950	99.1602	60
Fo47	NC_072840.1	6487135	5303552	5340184	NC_030986.1	6854980	1026045	1062598	opposite	36329	36665	36553	99.0836	60
Fo47	NC_072840.1	6487135	5242209	5303444	NC_030986.1	6854980	1062723	1123966	opposite	60754	61280	61243	99.1416	60
Fo47	NC_072840.1	6487135	5228091	5238863	NC_030986.1	6854980	1127152	1137952	opposite	10696	10805	10800	98.9912	60
Fo47	NC_072840.1	6487135	5151119	5227941	NC_030986.1	6854980	1138113	1215128	opposite	76243	76937	77015	99.0980	60
Fo47	NC_072840.1	6487135	5122600	5148463	NC_030986.1	6854980	1217556	1243454	opposite	25673	25910	25898	99.0853	60
Fo47	NC_072840.1	6487135	5044043	5121658	NC_030986.1	6854980	1244348	1322616	opposite	76881	78436	78268	98.0175	60
Fo47	NC_072840.1	6487135	4966468	5043882	NC_030986.1	6854980	1322784	1400307	opposite	76784	77418	77523	99.1811	60
Fo47	NC_072840.1	6487135	4934936	4965884	NC_030986.1	6854980	1401054	1432011	opposite	30743	30975	30957	99.2510	60
Fo47	NC_072840.1	6487135	4925180	4927775	NC_030986.1	6854980	1439493	1442090	opposite	2549	2597	2597	98.1517	60
Fo47	NC_072840.1	6487135	4800763	4924917	NC_030986.1	6854980	1442279	1565615	opposite	120834	125574	123336	96.2253	60
Fo47	NC_072840.1	6487135	4791465	4800365	NC_030986.1	6854980	1566074	1574979	opposite	8847	8905	8905	99.3487	60
Fo47	NC_072840.1	6487135	4762757	4791300	NC_030986.1	6854980	1575156	1603705	opposite	28321	28560	28549	99.1632	60
Fo47	NC_072840.1	6487135	4706267	4710056	NC_030986.1	6854980	1604705	1608496	opposite	3768	3792	3791	99.3671	60
Fo47	NC_072840.1	6487135	4603580	4704645	NC_030986.1	6854980	1610354	1711439	opposite	100316	101256	101085	99.0717	60
Fo47	NC_072840.1	6487135	4581485	4603474	NC_030986.1	6854980	1711541	1733541	opposite	21811	22047	22000	98.9296	60
Fo47	NC_072840.1	6487135	4559836	4580989	NC_030986.1	6854980	1734176	1755293	opposite	20969	21198	21117	98.9197	60
