genome	sequence_id	chromosome	length_bp	chromosome_class	description
Fo47	NC_072840.1	I	6487135	core	Fusarium oxysporum Fo47 chromosome I, complete sequence
Fo47	NC_072841.1	II	5611497	core	Fusarium oxysporum Fo47 chromosome II, complete sequence
Fo47	NC_072842.1	III	5151772	core	Fusarium oxysporum Fo47 chromosome III, complete sequence
Fo47	NC_072843.1	IV	4731052	core	Fusarium oxysporum Fo47 chromosome IV, complete sequence
Fo47	NC_072844.1	V	4523040	core	Fusarium oxysporum Fo47 chromosome V, complete sequence
Fo47	NC_072845.1	VI	4300638	core	Fusarium oxysporum Fo47 chromosome VI, complete sequence
Fo47	NC_072846.1	VII	4259108	accessory	Fusarium oxysporum Fo47 chromosome VII, complete sequence
Fo47	NC_072847.1	VIII	3716460	core	Fusarium oxysporum Fo47 chromosome VIII, complete sequence
Fo47	NC_072848.1	IX	3277645	core	Fusarium oxysporum Fo47 chromosome IX, complete sequence
Fo47	NC_072849.1	X	2893631	core	Fusarium oxysporum Fo47 chromosome X, complete sequence
Fo47	NC_072850.1	XI	2853886	core	Fusarium oxysporum Fo47 chromosome XI, complete sequence
Fo47	NC_072851.1	XII	2552985	core	Fusarium oxysporum Fo47 chromosome XII, complete sequence
