fol_id	fol_chromosome	fol_chromosome_class	fol_start	fol_end	fo47_id	fo47_chromosome	fo47_chromosome_class	fo47_start	fo47_end	alignment_length_bp	percent_identity	orientation
NC_030986.1	1	core	292035	365565	NC_072840.1	I	core	6029119	6107602	73530	91.4913	opposite
NC_030986.1	1	core	578147	637593	NC_072840.1	I	core	5727997	5787472	59446	99.0254	opposite
NC_030986.1	1	core	738266	847960	NC_072840.1	I	core	5517441	5627845	109694	96.8387	opposite
NC_030986.1	1	core	856363	937471	NC_072840.1	I	core	5427977	5509021	81108	98.6211	opposite
NC_030986.1	1	core	973871	1025821	NC_072840.1	I	core	5340406	5392419	51950	99.1602	opposite
NC_030986.1	1	core	1062723	1123966	NC_072840.1	I	core	5242209	5303444	61243	99.1416	opposite
NC_030986.1	1	core	1138113	1215128	NC_072840.1	I	core	5151119	5227941	77015	99.0980	opposite
NC_030986.1	1	core	1244348	1322616	NC_072840.1	I	core	5044043	5121658	78268	98.0175	opposite
NC_030986.1	1	core	1322784	1400307	NC_072840.1	I	core	4966468	5043882	77523	99.1811	opposite
NC_030986.1	1	core	1442279	1565615	NC_072840.1	I	core	4800763	4924917	123336	96.2253	opposite
NC_030986.1	1	core	1610354	1711439	NC_072840.1	I	core	4603580	4704645	101085	99.0717	opposite
NC_030986.1	1	core	1755401	1838835	NC_072840.1	I	core	4476473	4559723	83434	99.2169	opposite
NC_030986.1	1	core	2087927	2250772	NC_072840.1	I	core	4064534	4229384	162845	97.8119	opposite
NC_030986.1	1	core	2251302	2308623	NC_072840.1	I	core	4006790	4064139	57321	99.1972	opposite
NC_030986.1	1	core	2308742	2377965	NC_072840.1	I	core	3937329	4006677	69223	98.8717	opposite
NC_030986.1	1	core	2433148	2560625	NC_072840.1	I	core	3754945	3882324	127477	99.2246	opposite
NC_030986.1	1	core	2704314	2794413	NC_072840.1	I	core	3523673	3613878	90099	98.9299	opposite
NC_030986.1	1	core	2794507	2899757	NC_072840.1	I	core	3419000	3523581	105250	98.6850	opposite
NC_030986.1	1	core	2977184	3274241	NC_072840.1	I	core	3045206	3342360	297057	99.1924	opposite
NC_030986.1	1	core	3279507	3341020	NC_072840.1	I	core	2978651	3039923	61513	98.9527	opposite
NC_030986.1	1	core	3384726	3511518	NC_072840.1	I	core	2808021	2934817	126792	99.0975	opposite
NC_030986.1	1	core	3511844	3625585	NC_072840.1	I	core	2691538	2807536	113741	97.3233	opposite
NC_030986.1	1	core	3632639	3714483	NC_072840.1	I	core	2602770	2684572	81844	99.1037	opposite
NC_030986.1	1	core	3749762	3903652	NC_072840.1	I	core	2414372	2567446	153890	98.8605	opposite
NC_030986.1	1	core	3952389	4031489	NC_072840.1	I	core	2288422	2367339	79100	99.0704	opposite
NC_030986.1	1	core	4043960	4276331	NC_072840.1	I	core	2044499	2276142	232371	98.8068	opposite
NC_030986.1	1	core	4343647	4444539	NC_072840.1	I	core	1877378	1978146	100892	98.9758	opposite
NC_030986.1	1	core	4524976	4580341	NC_072840.1	I	core	1741169	1799966	55365	93.2831	opposite
NC_030986.1	1	core	4580548	4697682	NC_072840.1	I	core	1624140	1740978	117134	99.1153	opposite
NC_030986.1	1	core	4697755	4812752	NC_072840.1	I	core	1508952	1624076	114997	99.1331	opposite
