query_genome	query_id	query_length_bp	query_start_0based	query_end_0based	ref_id	ref_length_bp	ref_start_0based	ref_end_0based	orientation	matching_bases	alignment_block_length_bp	ref_span_bp	percent_identity	mapping_quality
FoCL57	KK035846.1	137471	133371	136145	NC_030986.1	6854980	45582	48328	opposite	2666	2774	2746	96.1067	60
FoCL57	KK035846.1	137471	100595	106783	NC_030986.1	6854980	48739	54942	opposite	6099	6205	6203	98.2917	60
FoCL57	KK035846.1	137471	62715	98899	NC_030986.1	6854980	56638	93526	opposite	35579	36897	36888	96.4279	60
FoCL57	KK035846.1	137471	60766	61128	NC_030986.1	6854980	107481	107843	opposite	346	362	362	95.5801	60
FoCL57	KK035846.1	137471	52487	60910	NC_030986.1	6854980	107699	115654	opposite	7723	8424	7955	91.6785	60
FoCL57	KK035846.1	137471	38939	41555	NC_030986.1	6854980	117253	119867	opposite	2528	2618	2614	96.5623	60
FoCL57	KK035846.1	137471	31715	32573	NC_030986.1	6854980	124236	125093	opposite	802	858	857	93.4732	60
FoCL57	KK035846.1	137471	18362	31412	NC_030986.1	6854980	126862	139888	opposite	12517	12983	13026	96.4107	60
FoCL57	KK035846.1	137471	5978	14788	NC_030986.1	6854980	140775	152314	opposite	8546	11555	11539	73.9593	60
FoCL57	KK035846.1	137471	4775	5553	NC_030986.1	6854980	152740	153518	opposite	755	778	778	97.0437	60
FoCL57	KK035840.1	1038905	419471	421612	NC_030986.1	6854980	157844	159987	same	1927	2147	2143	89.7531	24
FoCL57	JH651385.1	5064356	69421	71547	NC_030986.1	6854980	158084	160210	opposite	1911	2126	2126	89.8871	41
FoCL57	JH651407.1	111915	64957	67072	NC_030986.1	6854980	158091	160210	same	1916	2142	2119	89.4491	16
FoCL57	KK035847.1	91901	82709	84754	NC_030986.1	6854980	158165	160210	opposite	1874	2046	2045	91.5934	28
FoCL57	JH651388.1	2947611	9767	11480	NC_030986.1	6854980	158181	159894	same	1573	1713	1713	91.8272	2
FoCL57	JH651391.1	2471847	22241	25337	NC_030986.1	6854980	159291	162857	opposite	2758	3580	3566	77.0391	60
FoCL57	KK035847.1	91901	81339	82031	NC_030986.1	6854980	161360	162052	opposite	644	692	692	93.0636	27
FoCL57	JH651393.1	2142601	10365	11799	NC_030986.1	6854980	161384	162816	same	1312	1434	1432	91.4923	60
FoCL57	KK035846.1	137471	1110	1702	NC_030986.1	6854980	164159	164751	opposite	554	592	592	93.5811	60
FoCL57	KK035846.1	137471	324	987	NC_030986.1	6854980	170591	171256	opposite	635	665	665	95.4887	60
FoCL57	JH651395.1	1675914	131	22341	NC_030986.1	6854980	171605	193920	same	21722	22366	22315	97.1206	60
FoCL57	JH651395.1	1675914	22584	36806	NC_030986.1	6854980	194160	208351	same	13924	14244	14191	97.7534	60
FoCL57	JH651395.1	1675914	36894	41432	NC_030986.1	6854980	210537	215079	same	4451	4542	4542	97.9965	60
FoCL57	JH651395.1	1675914	41727	66413	NC_030986.1	6854980	215374	240725	same	24321	25360	25351	95.9030	60
FoCL57	JH651395.1	1675914	68424	113491	NC_030986.1	6854980	243297	274794	same	30753	45180	31497	68.0677	60
FoCL57	JH651395.1	1675914	113707	209005	NC_030986.1	6854980	275031	365576	same	88622	95551	90545	92.7484	60
FoCL57	JH651395.1	1675914	209063	232972	NC_030986.1	6854980	365644	389807	same	23395	24182	24163	96.7455	60
FoCL57	JH651395.1	1675914	239171	248871	NC_030986.1	6854980	395460	405336	same	9418	9886	9876	95.2660	60
FoCL57	JH651395.1	1675914	277480	299604	NC_030986.1	6854980	409620	431753	same	21627	22158	22133	97.6036	60
FoCL57	JH651395.1	1675914	301759	306594	NC_030986.1	6854980	434010	438830	same	4712	4841	4820	97.3353	60
FoCL57	JH651395.1	1675914	306727	346350	NC_030986.1	6854980	438976	478601	same	38842	39733	39625	97.7575	60
FoCL57	JH651395.1	1675914	346458	374382	NC_030986.1	6854980	478708	506601	same	26625	28284	27893	94.1345	60
FoCL57	JH651395.1	1675914	384011	399085	NC_030986.1	6854980	517109	532304	same	14764	15209	15195	97.0741	60
FoCL57	JH651395.1	1675914	405890	410830	NC_030986.1	6854980	533350	538290	same	4873	4940	4940	98.6437	60
FoCL57	JH651395.1	1675914	411450	412332	NC_030986.1	6854980	538912	539794	same	856	882	882	97.0522	60
FoCL57	JH651395.1	1675914	412462	412974	NC_030986.1	6854980	539940	540452	same	488	512	512	95.3125	60
FoCL57	JH651395.1	1675914	413171	450456	NC_030986.1	6854980	540649	577955	same	36850	37265	37306	98.8864	60
FoCL57	JH651395.1	1675914	450647	510064	NC_030986.1	6854980	578147	637593	same	58908	59477	59446	99.0433	60
FoCL57	JH651395.1	1675914	511349	512976	NC_030986.1	6854980	638789	640417	same	1611	1628	1628	98.9558	60
FoCL57	JH651395.1	1675914	513152	514812	NC_030986.1	6854980	640736	642387	same	1631	1660	1651	98.2530	60
FoCL57	JH651395.1	1675914	515221	563604	NC_030986.1	6854980	643087	691454	same	48090	48391	48367	99.3780	60
FoCL57	JH651395.1	1675914	563712	609580	NC_030986.1	6854980	691580	737427	same	45517	45889	45847	99.1893	60
FoCL57	JH651395.1	1675914	610222	721118	NC_030986.1	6854980	738266	847960	same	108105	111125	109694	97.2823	60
FoCL57	JH651395.1	1675914	721279	728947	NC_030986.1	6854980	848104	855767	same	7589	7678	7663	98.8408	60
FoCL57	JH651395.1	1675914	729546	810517	NC_030986.1	6854980	856363	937471	same	80010	81087	81108	98.6718	60
FoCL57	JH651395.1	1675914	811109	816454	NC_030986.1	6854980	937996	943358	same	5284	5364	5362	98.5086	60
FoCL57	JH651395.1	1675914	816531	846751	NC_030986.1	6854980	943440	973717	same	29905	30305	30277	98.6801	60
FoCL57	JH651395.1	1675914	846899	898929	NC_030986.1	6854980	973871	1025821	same	51590	52054	51950	99.1086	60
FoCL57	JH651395.1	1675914	899151	935781	NC_030986.1	6854980	1026045	1062598	same	36334	36663	36553	99.1026	60
FoCL57	JH651395.1	1675914	935889	997139	NC_030986.1	6854980	1062723	1123966	same	60761	61289	61243	99.1385	60
FoCL57	JH651395.1	1675914	1000485	1011256	NC_030986.1	6854980	1127152	1137952	same	10695	10805	10800	98.9820	60
FoCL57	JH651395.1	1675914	1011406	1088237	NC_030986.1	6854980	1138113	1215128	same	76241	76946	77015	99.0838	60
FoCL57	JH651395.1	1675914	1090893	1116748	NC_030986.1	6854980	1217556	1243454	same	25670	25909	25898	99.0775	60
FoCL57	JH651395.1	1675914	1117690	1195341	NC_030986.1	6854980	1244348	1322616	same	76973	78417	78268	98.1586	60
FoCL57	JH651395.1	1675914	1195502	1272911	NC_030986.1	6854980	1322784	1400307	same	76788	77413	77523	99.1926	60
FoCL57	JH651395.1	1675914	1273495	1304496	NC_030986.1	6854980	1401054	1432060	same	30797	31023	31006	99.2715	60
FoCL57	JH651395.1	1675914	1311460	1314139	NC_030986.1	6854980	1439409	1442090	same	2626	2681	2681	97.9485	60
FoCL57	JH651395.1	1675914	1314402	1437353	NC_030986.1	6854980	1442279	1565615	same	120995	124114	123336	97.4870	60
FoCL57	JH651395.1	1675914	1437751	1446651	NC_030986.1	6854980	1566074	1574979	same	8847	8905	8905	99.3487	60
FoCL57	JH651395.1	1675914	1446816	1475517	NC_030986.1	6854980	1575156	1603673	same	28269	28624	28517	98.7598	60
FoCL57	JH651395.1	1675914	1536804	1637827	NC_030986.1	6854980	1610369	1711439	same	100247	101226	101070	99.0329	60
FoCL57	JH651395.1	1675914	1637933	1659973	NC_030986.1	6854980	1711541	1733541	same	21791	22118	22000	98.5216	60
FoCL57	JH651395.1	1675914	1660469	1675513	NC_030986.1	6854980	1734176	1749057	same	14798	14960	14881	98.9171	60
FoCL57	JH651392.1	2218604	1267	7507	NC_030986.1	6854980	1749055	1755293	same	6176	6261	6238	98.6424	60
FoCL57	JH651392.1	2218604	7626	90940	NC_030986.1	6854980	1755401	1838835	same	82645	83295	83434	99.2196	60
FoCL57	JH651392.1	2218604	91550	117409	NC_030986.1	6854980	1839452	1866150	same	25675	26727	26698	96.0639	60
FoCL57	JH651392.1	2218604	118957	130159	NC_030986.1	6854980	1867885	1879114	same	11097	11259	11229	98.5612	60
FoCL57	JH651392.1	2218604	130667	161864	NC_030986.1	6854980	1879754	1910582	same	30503	31204	30828	97.7535	60
FoCL57	JH651392.1	2218604	162312	211427	NC_030986.1	6854980	1911218	1960778	same	48677	49138	49560	99.0618	60
FoCL57	JH651392.1	2218604	211953	238710	NC_030986.1	6854980	1961368	1988142	same	26554	26801	26774	99.0784	60
FoCL57	JH651392.1	2218604	239080	286157	NC_030986.1	6854980	1988594	2035931	same	46536	47223	47337	98.5452	60
